res_id,ability,age,educyears,isfarmer,yearsfarming,yearsmanagingfarm,outsidewage,worriedaboutcropprices,worriedaboutcropyields
1088,56,28,4,Yes,10,5,3000000,Sometimes,Sometimes
1089,63,52,7,Yes,30,20,400000,Sometimes,Sometimes
1090,57,40,7,Yes,30,10,200001,Sometimes,Sometimes
1091,65,35,9,Yes,10,10,5000000,Sometimes,Sometimes
1092,39,56,7,Yes,44,27,4000,Sometimes,Sometimes
1093,74,60,13,Yes,45,20,3600000,Sometimes,Sometimes
1094,65,38,7,Yes,10,5,3000000,All the time,All the time
1095,62,36,7,Yes,21,15,2000000,Sometimes,Sometimes
1096,39,80,7,Yes,15,15,200000,All the time,All the time
1097,70,31,7,Yes,20,9,9999999999,Sometimes,Sometimes
1098,65,47,7,Yes,28,19,1000000,All the time,Sometimes
1099,55,33,7,Yes,23,9,9999999999,All the time,Sometimes
1100,43,58,2,Yes,50,37,5000000,Sometimes,Sometimes
1101,44,63,,Yes,46,32,9999999999,All the time,All the time
1102,71,61,12,Yes,20,14,3050000,All the time,Sometimes
1103,54,50,7,Yes,41,20,9999999999,Sometimes,Sometimes
1104,68,35,12,Yes,23,8,2000000,Not at all,Sometimes
1105,56,46,,Yes,24,12,9999999999,Sometimes,Sometimes
1106,48,51,,Yes,20,10,50000,Sometimes,All the time
1107,52,42,7,Yes,25,20,200000,Sometimes,Sometimes
1108,58,50,,Yes,30,20,700000,Not at all,Sometimes
1109,54,30,7,Yes,16,4,700000,Sometimes,Sometimes
1110,41,41,7,Yes,20,8,2000000000,All the time,Sometimes
1111,69,58,7,Yes,39,20,500000,Sometimes,Sometimes
1112,65,36,7,Yes,27,21,9999999999,Not at all,Sometimes
1113,72,40,7,Yes,31,8,9999999999,Sometimes,Not at all
1114,71,52,7,Yes,33,15,800000,Sometimes,Not at all
1115,56,50,7,Yes,21,11,200000,Sometimes,Sometimes
1116,69,40,,Yes,20,6,800000,All the time,Sometimes
1117,52,62,11,Yes,49,19,9999999999,All the time,Sometimes
1118,35,47,,Yes,20,20,9999999999,Sometimes,Sometimes
1119,61,30,7,Yes,5,5,9999999999,Sometimes,Sometimes
1120,60,44,7,Yes,15,9,8000000,Sometimes,Sometimes
1121,63,41,7,Yes,34,14,300000,Sometimes,Sometimes
1122,55,36,7,Yes,18,14,400000,Sometimes,Sometimes
1123,43,61,7,Yes,40,30,9999999999,All the time,Sometimes
1124,59,30,7,Yes,12,5,300000,Sometimes,Sometimes
1125,62,38,7,Yes,20,18,2000000,All the time,Sometimes
1126,58,50,7,Yes,33,18,150000,Sometimes,Sometimes
1127,42,53,,Yes,28,23,9999999999,Sometimes,Sometimes
1128,55,29,7,Yes,21,10,500000,Sometimes,Sometimes
1129,54,57,7,Yes,16,16,500000,Sometimes,Sometimes
1130,56,46,7,Yes,20,18,2400000,Sometimes,Sometimes
1131,39,27,7,Yes,20,18,9999999999,Sometimes,Sometimes
1132,58,42,3,Yes,18,15,200000,Sometimes,Sometimes
1133,49,34,4,Yes,14,5,200000,Sometimes,Sometimes
1134,39,66,7,Yes,40,40,9999999999,Sometimes,All the time
1135,65,37,7,Yes,7,7,50000,Sometimes,All the time
1136,60,52,7,Yes,32,32,9999999999,Sometimes,Sometimes
1137,63,38,,Yes,9,9,700000,Sometimes,Not at all
1138,68,30,,Yes,10,10,200000,Sometimes,Sometimes
1139,51,57,7,Yes,33,10,9999999999,Sometimes,Sometimes
1140,70,48,7,Yes,36,36,9999999999,Sometimes,Not at all
1141,52,49,7,Yes,9,9,9999999999,Sometimes,Not at all
1142,72,49,7,Yes,31,18,2000000,Sometimes,Sometimes
1143,66,54,4,Yes,37,36,1000000,Sometimes,Sometimes
1144,62,37,7,Yes,12,12,300000,Sometimes,Sometimes
1145,69,36,7,Yes,16,3,2000000,All the time,Sometimes
1146,56,50,12,Yes,25,10,400000,Sometimes,Not at all
1147,47,33,7,Yes,10,10,100000,Sometimes,All the time
1148,75,41,7,Yes,20,20,200000,Sometimes,Sometimes
1149,70,55,7,Yes,42,27,2000000,Sometimes,Sometimes
1150,69,52,7,Yes,30,25,3000000,Sometimes,Sometimes
1151,66,54,7,Yes,40,30,9999999999,Sometimes,Sometimes
1152,72,50,16,Yes,35,10,10000000,Sometimes,Sometimes
1153,69,50,12,Yes,25,15,2000000,Sometimes,Sometimes
1154,68,53,12,Yes,33,20,84000000,Sometimes,Sometimes
1155,60,30,,Yes,20,10,250000,Not at all,Not at all
1156,53,50,7,Yes,30,20,500000,All the time,Sometimes
1157,44,50,,Yes,40,20,9999999999,Not at all,All the time
1158,62,28,7,Yes,19,6,150000,All the time,Sometimes
1159,50,32,7,Yes,20,10,200000,All the time,All the time
1160,60,60,7,Yes,49,40,600000,Sometimes,Sometimes
1161,50,67,7,Yes,38,20,400000,Sometimes,Sometimes
1162,55,30,6,Yes,20,5,9999999999,All the time,Sometimes
1163,82,38,15,Yes,10,3,6600000,Sometimes,Sometimes
1164,70,35,11,Yes,20,5,500000,Sometimes,Sometimes
1165,59,50,7,Yes,30,20,500000,Sometimes,Sometimes
1166,53,49,7,Yes,30,15,9999999999,Sometimes,Sometimes
1167,65,30,9,Yes,10,9,300000,Sometimes,Not at all
1168,54,65,7,Yes,50,35,9999999999,Sometimes,Sometimes
1169,44,27,7,Yes,10,1,200000,Not at all,Sometimes
1170,59,51,,Yes,24,20,9999999999,All the time,Sometimes
1171,47,38,7,Yes,24,10,400000,Sometimes,Sometimes
1172,65,42,7,Yes,10,9,200000,Not at all,Not at all
1173,59,67,7,Yes,51,33,5000000,Sometimes,Not at all
1174,51,50,7,Yes,40,25,50000,Sometimes,Sometimes
1175,51,37,7,Yes,17,11,9999999999,Sometimes,Sometimes
1176,68,25,7,Yes,6,6,3060000,Sometimes,Sometimes
1177,63,45,7,Yes,20,20,100000,Sometimes,Sometimes
1178,52,49,5,Yes,12,10,9999999999,Sometimes,Sometimes
1179,73,58,5,Yes,20,20,700000,Sometimes,Sometimes
1180,61,40,7,Yes,7,7,10000000,Sometimes,Sometimes
1181,61,42,7,Yes,24,24,600000,All the time,Sometimes
1182,65,44,4,Yes,30,30,200000,All the time,All the time
1183,62,30,4,Yes,3,3,500000,Sometimes,Sometimes
1184,55,37,7,Yes,30,25,700000,Sometimes,Sometimes
1185,69,50,7,Yes,30,25,9999999999,Sometimes,Sometimes
1186,59,41,7,Yes,23,13,9999999999,Sometimes,Sometimes
1187,57,58,,Yes,50,36,9999999999,Sometimes,All the time
1188,59,46,7,Yes,29,20,9999999999,Sometimes,Not at all
1189,39,63,,Yes,50,46,9999999999,All the time,Sometimes
1190,59,35,7,Yes,27,22,9999999999,Sometimes,Sometimes
1191,61,43,7,Yes,16,14,1500000,Sometimes,Not at all
1192,84,49,7,Yes,36,19,500000,Sometimes,Not at all
1193,61,32,7,Yes,20,10,9999999999,Sometimes,Sometimes
1194,65,45,7,Yes,37,15,2000000,All the time,Sometimes
1195,61,35,7,Yes,17,10,6000000,Sometimes,Sometimes
1196,59,35,,Yes,26,22,9999999999,Sometimes,Sometimes
1197,56,42,,Yes,30,25,5000000,Sometimes,Sometimes
1198,42,63,,Yes,52,46,9999999999,Sometimes,Sometimes
1199,77,57,7,Yes,21,21,2000000,Sometimes,Sometimes
1200,62,40,7,Yes,27,10,400000,Sometimes,Sometimes
1201,63,63,6,Yes,42,32,9999999999,Sometimes,Sometimes
1202,57,28,7,Yes,18,8,50000,Sometimes,Sometimes
1203,65,40,7,Yes,20,13,2000000,All the time,Sometimes
1204,72,60,,Yes,31,23,1500000,Sometimes,Not at all
1205,71,54,7,Yes,40,30,1100000,Sometimes,All the time
1206,75,60,7,Yes,31,23,1600000,Sometimes,Not at all
1207,64,50,7,Yes,27,17,6000000,Sometimes,All the time
1208,49,55,7,Yes,32,16,9999999999,Not at all,All the time
1209,78,44,6,Yes,19,19,900000,Sometimes,Sometimes
1210,79,52,7,Yes,13,13,700000,Sometimes,Sometimes
1211,74,40,7,Yes,19,19,900000,Sometimes,Sometimes
1212,78,49,7,Yes,22,22,2000000,Sometimes,All the time
1213,66,55,7,Yes,20,10,9999999999,Sometimes,All the time
1214,79,54,4,Yes,23,23,700000,Sometimes,Sometimes
1215,70,46,13,Yes,32,28,4000000,Sometimes,Sometimes
1216,52,25,7,Yes,12,7,9999999999,Sometimes,All the time
1217,59,46,7,Yes,31,22,6000000,Sometimes,Sometimes
1218,79,48,7,Yes,22,22,1000000,Sometimes,Sometimes
1219,62,51,7,Yes,38,22,700000,Sometimes,Sometimes
1220,57,49,,Yes,31,20,4000000,Sometimes,Sometimes
1221,64,45,7,Yes,20,10,500000,Not at all,Not at all
1222,64,61,7,Yes,45,35,8000000,Sometimes,Sometimes
1223,71,41,7,Yes,25,19,2000000,Sometimes,Sometimes
1224,62,36,7,Yes,25,15,500000,Sometimes,Sometimes
1225,72,50,9,Yes,35,25,3000000,Sometimes,Sometimes
1226,74,60,7,Yes,45,39,9999999999,Sometimes,Sometimes
1227,71,43,7,Yes,27,20,3000000,Sometimes,Sometimes
1228,78,40,7,Yes,19,19,700000,Sometimes,Sometimes
1229,68,55,7,Yes,23,18,2200000,Sometimes,Not at all
1230,54,56,7,Yes,38,20,200000,Sometimes,Sometimes
1231,53,35,7,Yes,27,17,7000,Sometimes,Sometimes
1232,93,52,,Yes,42,30,3600000,Sometimes,Sometimes
1233,55,30,7,Yes,18,7,200000,Sometimes,Sometimes
1234,57,48,7,Yes,29,20,400000,Sometimes,Sometimes
1235,61,42,6,Yes,30,19,700000,Sometimes,Sometimes
1236,56,47,7,Yes,30,28,6700000,Sometimes,Sometimes
1237,56,39,7,Yes,20,16,280000,Sometimes,Sometimes
1238,55,52,7,Yes,38,21,300000,Sometimes,Not at all
1239,59,37,7,Yes,21,16,200000,Sometimes,Sometimes
1240,55,50,7,Yes,35,28,200000,Sometimes,Sometimes
1241,71,45,7,Yes,33,23,4000000,Sometimes,Sometimes
1242,48,36,7,Yes,25,10,9999999999,All the time,Sometimes
1243,78,49,,Yes,29,23,2700000,Sometimes,Sometimes
1244,59,50,7,Yes,39,35,9999999999,Sometimes,Sometimes
1245,53,40,7,Yes,15,10,9999999999,Sometimes,Sometimes
1246,62,25,9,Yes,9,4,9999999999,All the time,All the time
1247,56,28,7,Yes,17,7,1000000,Sometimes,Sometimes
1248,54,30,7,Yes,25,18,9999999999,All the time,Sometimes
1249,60,53,7,Yes,37,20,3500000,Sometimes,Sometimes
1250,69,42,7,Yes,32,20,8500000,Sometimes,Sometimes
1251,54,48,7,Yes,30,22,800000,Sometimes,Sometimes
1252,57,35,,Yes,28,20,1500000,Sometimes,Sometimes
1253,50,46,,Yes,36,19,9999999999,Sometimes,All the time
1254,64,40,7,Yes,20,13,3000000,Not at all,Sometimes
1255,54,46,7,Yes,18,10,9999999999,Sometimes,Sometimes
1256,58,50,7,Yes,29,15,9999999999,Sometimes,Sometimes
1257,61,45,7,Yes,23,13,1000000,Sometimes,Sometimes
1258,43,31,7,Yes,17,10,500000,Sometimes,Sometimes
1259,64,32,7,Yes,20,13,4000000,Sometimes,Sometimes
1260,59,33,6,Yes,20,10,4000000,Sometimes,Sometimes
1261,70,65,7,Yes,47,20,1000000,All the time,Sometimes
1262,54,68,7,Yes,49,49,9999999999,All the time,Sometimes
1263,54,32,7,Yes,18,9,300000,Sometimes,Sometimes
1264,51,67,,Yes,44,40,9999999999,Sometimes,Sometimes
1265,60,56,7,Yes,38,20,20000000,All the time,Sometimes
1266,62,30,7,Yes,15,12,9999999999,All the time,Sometimes
1267,66,61,8,Yes,45,45,1000000,Not at all,Sometimes
1268,55,31,7,Yes,18,11,3000000,All the time,Sometimes
1269,46,49,7,Yes,28,12,9999999999,Sometimes,Sometimes
1270,59,29,,Yes,20,6,9999999999,All the time,All the time
1271,65,25,,Yes,13,3,9999999999,Sometimes,All the time
1272,74,40,7,Yes,35,13,100000,Sometimes,All the time
1273,78,42,7,Yes,29,19,9999999999,All the time,All the time
1274,54,32,7,Yes,25,10,9999999999,Sometimes,Sometimes
1275,79,55,,Yes,37,17,9999999999,Sometimes,Sometimes
1276,52,35,4,Yes,23,12,9999999999,Sometimes,Sometimes
1277,69,47,5,Yes,36,26,9999999999,Sometimes,Sometimes
1278,66,40,14,Yes,28,16,600000,Sometimes,Sometimes
1279,52,25,7,Yes,15,6,9999999999,Sometimes,Sometimes
1280,81,52,7,Yes,39,27,9999999999,All the time,Sometimes
1281,43,36,7,Yes,26,7,100000,Sometimes,Sometimes
1282,71,53,,Yes,40,29,9999999999,Sometimes,Sometimes
1283,65,46,,Yes,32,10,9999999999,All the time,Sometimes
1284,52,32,7,Yes,14,10,1500000,All the time,Sometimes
1285,65,39,7,Yes,24,15,40000000,All the time,Sometimes
1286,46,30,7,Yes,15,10,9999999999,Sometimes,Sometimes
1287,81,50,12,Yes,35,29,1000000,Sometimes,Sometimes
1288,45,53,,Yes,34,28,9999999999,Sometimes,Sometimes
1289,51,33,7,Yes,18,13,9999999999,All the time,All the time
1290,55,42,7,Yes,31,20,9999999999,Sometimes,Sometimes
1291,74,42,7,Yes,30,20,600000,Sometimes,Sometimes
1292,64,39,7,Yes,30,16,600000,Sometimes,Sometimes
1293,67,48,7,Yes,38,32,4000000,All the time,Sometimes
1294,51,34,7,Yes,22,14,100000,Sometimes,Sometimes
1295,81,24,12,Yes,13,3,540000,Sometimes,Sometimes
1296,78,33,7,Yes,21,10,650000,Sometimes,Sometimes
1297,70,49,7,Yes,35,20,700000,Sometimes,Sometimes
1298,48,61,5,Yes,50,32,9999999999,Sometimes,Sometimes
1299,76,55,7,Yes,30,20,600000,Not at all,Sometimes
1300,64,53,7,Yes,22,18,700000,Not at all,Not at all
1301,70,42,11,Yes,35,20,6000000,Sometimes,Sometimes
1302,69,55,7,Yes,35,23,5000000,Sometimes,Sometimes
1303,47,49,,Yes,30,17,500000,Sometimes,Not mentioned
1304,76,44,7,Yes,20,20,800000,Sometimes,All the time
1305,72,49,7,Yes,25,25,2000000,Sometimes,Sometimes
1306,76,50,7,Yes,25,25,1000000,Sometimes,Sometimes
1307,64,30,7,Yes,15,15,1000000,Sometimes,Sometimes
1308,72,55,11,Yes,20,20,2000000,Sometimes,Sometimes
1309,79,54,7,Yes,35,35,9999999999,Sometimes,Sometimes
1310,82,70,4,Yes,55,55,1500000,Sometimes,Sometimes
1311,70,42,7,Yes,30,30,3000000,Sometimes,Sometimes
1312,68,45,7,Yes,10,10,1000000,Sometimes,Sometimes
1313,68,45,7,Yes,20,20,9999999999,Sometimes,Sometimes
1314,74,60,5,Yes,26,26,9999999999,Sometimes,Sometimes
1315,79,50,7,Yes,30,30,3000000,Sometimes,Sometimes
1316,59,45,4,Yes,20,20,2000000,Sometimes,Sometimes
1317,78,45,7,Yes,20,20,4000000,Sometimes,Sometimes
1318,56,54,7,Yes,40,20,9999999999,Sometimes,Sometimes
1319,61,46,11,Yes,15,9,20000000,Sometimes,All the time
1320,55,63,7,Yes,40,31,9999999999,All the time,All the time
1321,71,49,7,Yes,20,9,9999999999,Sometimes,Sometimes
1322,56,43,7,Yes,23,10,9999999999,Sometimes,Sometimes
1323,62,37,11,Yes,8,4,1800000,All the time,Not at all
1324,50,28,9,Yes,6,4,300000,Sometimes,Sometimes
1325,65,45,11,Yes,23,7,2000000,All the time,All the time
1326,63,49,11,Yes,8,4,100000,Sometimes,Sometimes
1327,59,47,7,Yes,37,20,9999999999,Sometimes,All the time
1328,65,34,11,Yes,14,8,9999999999,Sometimes,Sometimes
1329,71,50,7,Yes,37,26,9999999999,Sometimes,Sometimes
1330,67,31,12,Yes,16,8,1000000,Sometimes,Sometimes
1331,86,40,7,Yes,25,19,9999999999,Sometimes,Sometimes
1332,70,46,7,Yes,30,25,600000,Sometimes,All the time
1333,40,38,7,Yes,20,12,9999999999,Sometimes,All the time
1334,61,40,7,Yes,28,15,9999999999,Sometimes,Sometimes
1335,65,50,7,Yes,41,32,8000000,Sometimes,Sometimes
1336,54,32,7,Yes,23,7,9999999999,All the time,Sometimes
1337,68,40,,Yes,39,29,9999999999,Sometimes,Sometimes
1338,59,46,7,Yes,28,19,400000,Sometimes,Sometimes
1339,68,44,7,Yes,31,20,9999999999,Sometimes,Sometimes
1340,71,48,7,Yes,28,18,6000000,Sometimes,Sometimes
1341,66,40,7,Yes,32,22,500000,Sometimes,Sometimes
1342,70,58,7,Yes,32,25,7000000,Sometimes,Sometimes
1343,66,43,7,Yes,38,16,9999999999,Not at all,Sometimes
1344,71,35,7,Yes,15,5,650000,Not at all,Sometimes
1345,72,60,7,Yes,27,18,900000,Sometimes,Sometimes
1346,73,52,7,Yes,20,5,9999999999,Not at all,Not at all
1347,77,35,7,Yes,18,8,800000,Sometimes,Not at all
1348,58,30,7,Yes,16,8,5000000,Sometimes,Sometimes
1349,49,30,7,Yes,21,14,2000000,Sometimes,Sometimes
1350,54,43,7,Yes,28,15,9999999999,Sometimes,All the time
1351,55,51,7,Yes,39,29,9999999999,All the time,Sometimes
1352,65,60,7,Yes,31,28,9999999999,Sometimes,Sometimes
1353,46,34,7,Yes,20,11,9999999999,Not at all,All the time
1354,63,57,4,Yes,43,37,9999999999,Sometimes,Sometimes
1355,61,44,7,Yes,31,23,9999999999,Sometimes,Sometimes
1356,80,42,7,Yes,34,26,9999999999,Sometimes,Sometimes
1357,59,39,,Yes,22,16,500000,Sometimes,Sometimes
1358,63,27,11,Yes,4,4,1000000,All the time,Sometimes
1359,50,41,7,Yes,28,22,9999999999,Not mentioned,Sometimes
1360,56,48,7,Yes,30,21,9999999999,Sometimes,Sometimes
1361,52,42,7,Yes,32,3,1500000,Sometimes,Sometimes
1362,45,56,7,Yes,30,21,9999999999,Not at all,Not at all
1363,66,44,7,Yes,30,20,9999999999,Sometimes,Sometimes
1364,61,42,20,Yes,38,18,4000000,Sometimes,Sometimes
1365,44,58,4,Yes,56,47,9999999999,Sometimes,Not at all
1366,49,26,7,Yes,21,16,9999999999,All the time,Sometimes
1367,49,45,7,Yes,38,30,4000000,Sometimes,Sometimes
1368,51,38,7,Yes,29,19,700000,Sometimes,All the time
1369,61,59,4,Yes,36,21,9999999999,Sometimes,Sometimes
1370,58,48,7,Yes,27,18,9999999999,Sometimes,Sometimes
1371,60,59,7,Yes,46,18,9999999999,Sometimes,Sometimes
1372,60,42,,Yes,22,20,9999999999,Sometimes,Sometimes
1373,72,48,7,Yes,21,16,2000000,Sometimes,Sometimes
1374,57,53,7,Yes,37,37,9999999999,Sometimes,Sometimes
1375,63,62,7,Yes,32,23,9999999999,Sometimes,Sometimes
1376,60,57,7,Yes,9,5,8000000,Sometimes,Not at all
1377,61,51,7,Yes,20,13,9999999999,Sometimes,Sometimes
1378,58,39,7,Yes,13,11,9999999999,Sometimes,Sometimes
1379,51,58,7,Yes,30,20,9999999999,Sometimes,Sometimes
1380,55,65,7,Yes,35,15,9999999999,Sometimes,Sometimes
1381,62,40,7,Yes,21,11,1000000,Sometimes,Sometimes
1382,59,42,7,Yes,25,18,9999999999,All the time,Sometimes
1383,77,48,7,Yes,30,22,2800000,All the time,All the time
1384,79,43,7,Yes,23,16,4000000,Sometimes,All the time
1385,77,48,7,Yes,29,21,3800000,All the time,Sometimes
1386,81,47,7,Yes,22,17,2000000,Sometimes,All the time
1387,64,44,7,Yes,26,15,9999999999,Sometimes,All the time
1388,73,60,7,Yes,34,26,3700000,Not at all,Sometimes
1389,71,25,7,Yes,12,5,3000000,Sometimes,Sometimes
1390,76,44,7,Yes,28,19,3900000,Sometimes,All the time
