sheet,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,calls,fulltime,parttime,managers,post
497,4,1,0,0,0,0,0,1,0,0,12,15,3,0
498,4,1,0,0,0,0,0,1,0,2,20,10,3,0
501,1,0,0,0,0,0,0,1,0,0,14,15,3,0
503,1,0,0,0,0,0,0,1,0,2,7.5,14,4,0
510,3,1,0,0,0,0,0,1,0,0,7,25,4,0
511,3,1,0,0,0,0,0,1,0,0,4,16,3,0
514,3,0,0,0,0,0,0,1,0,0,5,20,3,0
516,3,1,0,0,0,0,0,1,0,2,6,22.5,3,0
521,1,0,0,0,0,0,1,0,0,0,2.5,20,3,0
522,1,0,0,0,0,0,1,0,0,2,2,30,4,0
113,1,0,1,0,1,0,0,0,0,0,0,22,4,0
123,1,0,1,0,1,0,0,0,0,0,0,20,5,0
135,3,0,1,0,1,0,0,0,0,0,10,20,4,0
138,3,1,1,0,0,1,0,0,0,0,4.5,25.5,2,0
153,1,0,1,0,0,1,0,0,0,0,0,25,9,0
181,2,0,1,0,0,1,0,0,0,0,0,13,3,0
191,4,0,1,0,0,1,0,0,0,0,30,20,4,0
231,1,0,1,0,0,1,0,0,0,1,.,10,3,0
236,1,0,1,0,0,1,0,0,0,3,0,34,4,0
254,4,0,1,1,0,0,0,0,1,0,20,10,3,0
255,4,0,1,1,0,0,0,0,0,2,0,14,3,0
294,1,0,1,0,0,1,0,0,0,3,0,35,3,0
306,3,1,1,0,0,1,0,0,0,0,15,15,3,0
311,4,0,1,0,0,1,0,0,0,2,0,30,4,0
315,1,0,1,1,0,0,0,0,0,0,5,19,2,0
335,1,1,1,1,0,0,0,0,0,0,9,10,3,0
372,1,1,1,0,0,1,0,0,0,2,0,45,5,0
6,3,1,1,0,1,0,0,0,0,2,2,2,2,0
14,2,0,1,0,1,0,0,0,0,0,10,8,2,0
26,1,0,1,0,0,1,0,0,0,3,30,15,4,0
27,2,1,1,0,1,0,0,0,0,2,4,10,4,0
30,2,0,1,0,0,1,0,0,0,4,6,4,2,0
31,2,0,1,0,1,0,0,0,0,2,4,16,3,0
33,3,0,1,0,0,1,0,0,0,0,12,20,4,0
36,4,0,1,0,1,0,0,0,0,0,8,12,4,0
77,3,0,1,0,0,1,0,0,0,0,6,50,4,0
78,3,1,1,0,0,1,0,0,0,0,13,10,3,0
81,4,0,1,0,0,1,0,0,0,4,25,13,3,0
82,4,0,1,0,0,1,0,0,0,6,8,14.5,3,0
83,4,0,1,0,0,1,0,0,0,2,12.5,20,2,0
85,1,0,1,0,1,0,0,0,1,3,7,20,3,0
89,1,1,1,0,1,0,0,0,0,2,10,6,3,0
94,2,0,1,0,1,0,0,0,0,2,0,25,5,0
103,4,0,1,0,0,1,0,0,0,2,12.5,10,3,0
112,4,0,1,0,0,1,0,0,0,0,4,26,3,0
128,2,1,1,0,1,0,0,0,0,3,6.5,7.5,2,0
129,3,0,1,0,1,0,0,0,0,3,20,20,3,0
131,3,0,1,0,1,0,0,0,0,2,15,25,4,0
139,4,0,1,0,1,0,0,0,0,0,.,.,2,0
143,4,0,1,0,1,0,0,0,0,3,0,30,3,0
144,4,0,1,0,1,0,0,0,0,2,10,30,3,0
145,1,0,1,0,0,1,0,0,0,0,5,17,3,0
147,1,0,1,0,0,1,0,0,0,0,8.5,6.5,3,0
148,1,0,1,0,0,1,0,0,0,4,4.5,30,4,0
151,1,0,1,0,0,1,0,0,0,0,1,12,3,0
152,1,0,1,0,0,1,0,0,0,0,35,15,4,0
157,2,0,1,0,0,1,0,0,0,0,10,5,3,0
161,3,1,1,0,0,1,0,0,0,0,8,25,4,0
163,3,1,1,0,0,1,0,0,0,0,12,18,3,0
164,3,1,1,0,0,1,0,0,0,0,4,30,4,0
165,4,0,1,0,0,1,0,0,0,1,20,10,3,0
169,1,1,1,0,0,1,0,0,0,0,12,33,4,0
170,1,1,1,0,0,1,0,0,0,1,10,20,3,0
187,3,0,1,0,0,1,0,0,1,0,4,20,3,0
190,3,1,1,0,0,1,0,0,0,0,5,42,4,0
196,4,1,1,0,0,1,0,0,0,0,8,19,4,0
197,1,0,1,0,0,1,0,0,0,0,23,10,4,0
234,1,0,1,0,0,1,0,0,0,2,0,10,3,0
240,3,1,1,0,0,1,0,0,0,0,15,35,3,0
241,3,0,1,0,0,1,0,0,0,2,15,25,4,0
242,3,1,1,0,0,1,0,0,0,0,25,10,3,0
245,3,0,1,0,0,1,0,0,0,3,15,8,3,0
259,1,0,1,1,0,0,0,0,0,0,13,12,4,0
268,1,1,1,1,0,0,0,0,0,1,10,18,4,0
271,2,1,1,1,0,0,0,0,0,3,0,13,2,0
272,2,1,1,1,0,0,0,0,0,4,4,11,3,0
274,2,1,1,1,0,0,0,0,0,0,0,15,2,0
276,2,1,1,1,0,0,0,0,0,3,5,10,3,0
296,1,1,1,0,0,1,0,0,0,0,5,16,4,0
299,2,1,1,0,0,1,0,0,0,0,3,8,2,0
301,2,1,1,0,0,1,0,0,0,4,8,12,5,0
320,2,0,1,1,0,0,0,0,1,0,5,9,2,0
321,2,0,1,1,0,0,0,0,1,0,3,14,3,0
324,3,0,1,1,0,0,0,0,0,2,20,46,5,0
326,3,1,1,1,0,0,0,0,1,3,18,45,5,0
330,4,0,1,1,0,0,0,0,1,0,4,16,3,0
334,1,0,1,1,0,0,0,0,0,0,10,10,3,0
349,3,1,1,1,0,0,0,0,0,1,2.5,27,5,0
354,4,0,1,1,0,0,0,0,0,3,14,7,3,0
356,4,0,1,1,0,0,0,0,0,3,11.5,10,4,0
357,4,0,1,0,0,1,0,0,0,1,4.5,20,3,0
371,1,0,1,0,0,1,0,0,0,0,12,23,4,0
373,1,1,1,0,0,1,0,0,0,0,14,12,4,0
375,1,0,1,0,0,1,0,0,0,3,25,10,4,0
378,1,1,1,0,0,1,0,0,0,4,10,8,4,0
381,1,0,1,0,0,1,0,0,0,0,10,20,4,0
403,3,1,1,0,0,1,0,0,0,2,13,31,.,0
406,4,1,1,0,0,1,0,0,0,0,12,35,4,0
407,4,1,1,0,0,1,0,0,0,2,5,10,2,0
409,1,0,1,0,0,1,0,0,0,0,3,60,2,0
1,1,0,1,0,1,0,0,0,0,0,16,30,4,0
2,1,0,1,0,1,0,0,0,0,0,10,6,3,0
3,2,0,1,0,1,0,0,0,0,3,6,13,3,0
4,3,0,1,0,1,0,0,0,0,0,10,12,3,0
5,3,0,1,0,1,0,0,0,0,0,5,30,4,0
8,4,0,1,0,1,0,0,0,0,0,.,25,4,0
9,1,0,1,0,1,0,0,0,0,2,12,40,4,0
10,1,0,1,0,1,0,0,0,0,0,15,20,4,0
11,1,0,1,0,1,0,0,0,0,2,10,30,4,0
12,1,0,1,0,1,0,0,0,0,0,6.5,23.5,3,0
13,2,0,1,0,1,0,0,0,0,0,0,25,3,0
15,3,0,1,0,1,0,0,0,0,3,3,25,4,0
16,3,0,1,0,1,0,0,0,0,0,6,22,4,0
17,3,0,1,0,1,0,0,0,0,0,0,20,4,0
18,3,0,1,0,1,0,0,0,0,2,15,25,3,0
19,1,0,1,1,0,0,0,0,0,3,4,31,4,0
21,2,0,1,1,0,0,0,0,0,0,5,12,3,0
22,3,0,1,1,0,0,0,0,0,2,3,15,4,0
23,1,0,1,0,0,1,0,0,0,2,0,25,3,0
24,1,0,1,0,1,0,0,0,0,2,15,15,4,0
28,2,0,1,0,0,1,0,0,0,6,0,14,1,0
29,2,0,1,0,0,1,0,0,0,3,0,7,2,0
32,3,0,1,0,0,1,0,0,0,0,10,20.5,3,0
34,3,1,1,0,0,1,0,0,0,0,5,15,3,0
35,4,0,1,0,0,1,0,0,0,2,25,6.5,4,0
38,1,0,1,0,1,0,0,0,0,0,15,20,5,0
63,1,1,1,0,0,1,0,0,0,1,26,6,.,0
64,1,0,1,0,0,1,0,0,0,1,20,15,3,0
65,1,0,1,0,0,1,0,0,0,5,0,20,4,0
66,1,0,1,0,0,1,0,0,0,0,15,18,3,0
67,1,0,1,0,0,1,0,0,0,0,5,15,6,0
68,1,0,1,0,0,1,0,0,0,1,30,10,3,0
69,1,0,1,0,0,1,0,0,0,0,0,27,3,0
70,1,0,1,0,0,1,0,0,0,0,35,20,5,0
71,1,0,1,0,0,1,0,0,0,1,0,35,3,0
73,2,0,1,0,0,1,0,0,0,1,0,7,3,0
75,2,0,1,0,0,1,0,0,0,0,3,15,3,0
76,3,1,1,0,0,1,0,0,0,0,8,32,4,0
79,3,1,1,0,0,1,0,0,0,4,6,25,3,0
80,4,0,1,0,0,1,0,0,0,1,4.5,20,.,0
84,1,0,1,0,1,0,0,0,0,3,4,30,5,0
86,1,0,1,0,1,0,0,0,0,1,11,11,4,0
87,1,0,1,0,1,0,0,0,1,0,0,15,.,0
88,1,0,1,1,0,0,0,0,0,0,3,35,3,0
91,1,1,1,0,1,0,0,0,1,2,8,22,4,0
92,1,1,1,0,1,0,0,0,1,0,4,18,4,0
93,1,1,1,0,0,1,0,0,0,0,2.5,30,3,0
95,2,0,1,0,1,0,0,0,0,1,18,3,4,0
96,2,0,1,0,0,1,0,0,0,2,0,15,2,0
97,2,0,1,0,1,0,0,0,0,2,0,12,4,0
98,2,0,1,0,1,0,0,0,1,0,0,20,4,0
99,3,1,1,0,1,0,0,0,1,0,60,40,5,0
101,3,0,1,0,1,0,0,0,1,3,4.5,15,3,0
102,3,0,1,1,0,0,0,0,0,2,12,13,3,0
104,4,0,1,0,1,0,0,0,1,0,40,20,3,0
105,1,0,1,0,0,1,0,0,0,2,0,40,4,0
106,1,0,1,0,0,1,0,0,0,0,0,35,3,0
107,1,1,1,0,0,1,0,0,0,0,6,11,3,0
108,1,0,1,0,0,1,0,0,0,2,13.5,15,4,0
111,3,0,1,0,0,1,0,0,0,0,17,14,3,0
114,1,0,1,0,1,0,0,0,0,2,0,35,5,0
115,1,0,1,0,1,0,0,0,0,0,20,25,4,0
116,1,0,1,0,1,0,0,0,0,0,4,22.5,2,0
118,1,0,1,0,0,1,0,0,0,3,10,15,4,0
119,1,0,1,0,0,1,0,0,0,2,12,19,3,0
120,1,1,1,0,1,0,0,0,0,3,0,32,3,0
122,1,0,1,0,0,1,0,0,0,0,1,38,5,0
124,1,0,1,0,1,0,0,0,0,1,8,10,3,0
125,2,0,1,0,1,0,0,0,0,0,15,0,4,0
130,3,1,1,0,1,0,0,0,0,2,7,25.5,3,0
132,3,1,1,0,1,0,0,0,0,0,20,20,5,0
133,3,1,1,0,1,0,0,0,0,0,6,16,2,0
134,3,0,1,0,1,0,0,0,0,2,5.5,25,3,0
136,3,1,1,0,1,0,0,0,0,2,14.5,14.5,5,0
137,3,1,1,0,0,1,0,0,0,3,15,25,3,0
140,4,0,1,0,1,0,0,0,0,0,0,40,3,0
141,4,0,1,0,1,0,0,0,0,0,10,15,4,0
142,4,0,1,0,0,1,0,0,0,0,15,35,4,0
146,1,0,1,0,0,1,0,0,0,3,8,20,5,0
149,1,0,1,0,0,1,0,0,0,1,0,20,4,0
150,1,0,1,0,0,1,0,0,0,2,0,27.5,3.5,0
156,1,0,1,0,0,1,0,0,0,0,8,15,3,0
158,2,0,1,0,0,1,0,0,0,1,2,7,3,0
159,2,0,1,0,0,1,0,0,0,8,6,12,2,0
162,3,1,1,0,0,1,0,0,0,2,0,40,3,0
166,4,0,1,0,0,1,0,0,0,0,8,32,5,0
168,1,0,1,0,0,1,0,0,0,0,5,20,4,0
171,1,1,1,0,0,1,0,0,1,0,2,32,3,0
172,1,0,1,0,0,1,0,0,0,0,0,24,5,0
173,1,0,1,0,0,1,0,0,0,3,6,40,10,0
174,1,0,1,0,0,1,0,0,1,2,11,20,4,0
176,1,0,1,0,0,1,0,0,0,0,15,21,4,0
178,2,1,1,0,0,1,0,0,1,0,13,12,3,0
179,2,0,1,0,0,1,0,0,0,2,2,12,3,0
180,2,0,1,0,0,1,0,0,1,0,8,3,4,0
182,2,0,1,1,0,0,0,0,1,0,3,15,3,0
183,2,0,1,0,0,1,0,0,0,0,12,4,4,0
185,2,0,1,0,1,0,0,0,1,0,2,9,3,0
186,3,0,1,0,0,1,0,0,0,3,10,20,4,0
189,3,0,1,0,0,1,0,0,0,0,4,15,3,0
192,4,0,1,0,0,1,0,0,0,2,20,10,4,0
193,4,0,1,0,0,1,0,0,1,3,1,13,3,0
195,4,0,1,0,0,1,0,0,1,3,0,30,3,0
198,1,0,1,0,0,1,0,0,0,0,.,.,4,0
199,2,0,1,0,0,1,0,0,0,0,0,12,3,0
200,1,0,1,0,0,1,0,0,0,0,0,60,3,0
201,1,0,1,0,0,1,0,0,0,0,0,33,3,0
202,1,0,1,0,0,1,0,0,0,2,30,14,4,0
203,1,0,1,0,0,1,0,0,0,2,9,12,2,0
204,1,0,1,0,0,1,0,0,0,0,10,8.5,4,0
207,2,1,1,0,0,1,0,0,0,0,8,10,4,0
208,3,1,1,0,0,1,0,0,0,1,12,32,4,0
209,3,1,1,0,0,1,0,0,0,0,4,36,4,0
210,4,1,1,0,0,1,0,0,0,3,0,19,2,0
211,1,0,1,1,0,0,0,0,0,2,3,28,4,0
212,1,0,1,1,0,0,0,0,0,0,11,17.5,3,0
213,1,1,1,1,0,0,0,0,0,1,4.5,20,4,0
214,1,0,1,1,0,0,0,0,0,0,2,30,3,0
215,1,0,1,1,0,0,0,0,0,0,10,10,3,0
216,2,0,1,1,0,0,0,0,0,0,2,11,3,0
217,2,1,1,1,0,0,0,0,0,0,2,13,2,0
218,2,1,1,1,0,0,0,0,0,0,7,4,2,0
219,2,1,1,1,0,0,0,0,0,0,3,9,3,0
220,2,0,1,1,0,0,0,0,0,4,3,15,2,0
221,2,0,1,1,0,0,0,0,0,0,1,28,3,0
222,3,1,1,1,0,0,0,0,0,3,2,24,3,0
223,3,1,1,1,0,0,0,0,0,2,3,18,3,0
225,3,1,1,1,0,0,0,0,0,0,3,27,3,0
226,4,0,1,1,0,0,0,0,0,0,0,22,2,0
228,4,0,1,1,0,0,0,0,0,0,3,28.5,3,0
229,1,0,1,0,0,1,0,0,0,2,3,40,3,0
230,1,0,1,0,0,1,0,0,0,0,0,25,3,0
232,1,0,1,0,0,1,0,0,0,3,18,6,3,0
233,1,0,1,0,0,1,0,0,0,0,19,7,3,0
235,1,0,1,0,0,1,0,0,0,2,5,17,1,0
237,1,0,1,0,0,1,0,0,0,2,12,11,4,0
238,2,1,1,0,0,1,0,0,0,2,0,22,3,0
239,2,0,1,0,0,1,0,0,0,1,15,4,3,0
243,3,1,1,0,0,1,0,0,0,0,7,25,3,0
244,3,1,1,0,0,1,0,0,0,3,12,30,3,0
247,4,0,1,0,0,1,0,0,0,3,0,40,4,0
248,4,0,1,0,0,1,0,0,0,2,8,16,6,0
249,1,0,1,1,0,0,0,0,1,1,6,6,4,0
250,2,1,1,1,0,0,0,0,1,2,1,4,2,0
253,3,1,1,1,0,0,0,0,0,0,7,7,3,0
257,1,0,1,1,0,0,0,0,1,2,20,10,3,0
258,1,0,1,1,0,0,0,0,0,0,4,22,3,0
260,1,1,1,1,0,0,0,0,0,2,10,20,4,0
262,1,0,1,1,0,0,0,0,0,0,7,13,3,0
264,1,0,1,1,0,0,0,0,0,5,0,10,2,0
265,1,0,1,1,0,0,0,0,0,3,0,20,1,0
267,1,0,1,1,0,0,0,0,0,0,6.5,20,3,0
269,2,1,1,1,0,0,0,0,0,0,2,10,3,0
273,2,1,1,1,0,0,0,0,0,0,2,14,4,0
275,2,1,1,1,0,0,0,0,0,0,4,4,4,0
277,2,1,1,1,0,0,0,0,0,0,2,15,3,0
278,2,1,1,1,0,0,0,0,0,0,3,4,3,0
282,3,1,1,1,0,0,0,0,0,2,2,14,3,0
284,3,1,1,1,0,0,0,0,0,1,5,23,4,0
285,3,1,1,1,0,0,0,0,0,1,3,25,3,0
286,3,1,1,1,0,0,0,0,0,4,1,15,3,0
287,3,1,1,1,0,0,0,0,0,2,3,18,3,0
288,3,1,1,1,0,0,0,0,0,3,0,20,3,0
289,3,1,1,1,0,0,0,0,0,2,2,12,2,0
290,4,0,1,1,0,0,0,0,0,1,8,12,3,0
291,4,0,1,1,0,0,0,0,0,0,4,20,3,0
292,4,0,1,1,0,0,0,0,1,2,10,15,3,0
295,1,0,1,0,0,1,0,0,0,3,8,9,3,0
297,1,1,1,0,0,1,0,0,0,1,9,15,3,0
303,3,1,1,0,0,1,0,0,0,0,10,35,3,0
304,3,0,1,0,0,1,0,0,0,3,10,20,3,0
305,3,1,1,0,0,1,0,0,0,2,0,20,3,0
307,3,1,1,0,0,1,0,0,0,0,17.5,17.5,4,0
310,4,0,1,0,0,1,0,0,0,2,0,28,4,0
312,1,0,1,1,0,0,0,0,1,3,4,6,3,0
313,1,0,1,1,0,0,0,0,1,0,11,9,4,0
314,1,0,1,1,0,0,0,0,1,8,8,12,3,0
316,1,1,1,1,0,0,0,0,1,0,15,15,3,0
317,1,0,1,1,0,0,0,0,1,3,0,8,2,0
318,2,0,1,1,0,0,0,0,1,3,5,7,3,0
319,2,0,1,1,0,0,0,0,1,2,0,11,3,0
322,3,1,1,1,0,0,0,0,1,0,8,13,4,0
325,3,1,1,1,0,0,0,0,1,0,4,15,4,0
333,1,0,1,0,1,0,0,0,0,0,2,16.5,4,0
336,1,0,1,1,0,0,0,0,0,2,28,12,4,0
337,1,1,1,1,0,0,0,0,0,0,5,29.5,5,0
339,1,1,1,1,0,0,0,0,0,2,18,6,2,0
340,1,0,1,1,0,0,0,0,0,3,6,30,3,0
341,2,1,1,1,0,0,0,0,0,0,2,7,2,0
343,2,1,1,1,0,0,0,0,0,0,10,6,2,0
346,2,1,1,1,0,0,0,0,0,0,2,10.5,2,0
348,3,1,1,0,1,0,0,0,0,0,3,10.5,3,0
350,3,1,1,1,0,0,0,0,0,0,8,9,4,0
351,3,1,1,1,0,0,0,0,0,1,2,27.5,3,0
352,3,1,1,0,0,1,0,0,0,0,0,19,4,0
353,3,1,1,1,0,0,0,0,0,0,7.5,22.5,3,0
355,4,0,1,0,1,0,0,0,0,0,2,17,3,0
359,1,1,1,1,0,0,0,0,0,1,0,22,4,0
360,1,0,1,1,0,0,0,0,0,0,3,25,2,0
361,1,0,1,1,0,0,0,0,0,0,6,13,5,0
362,2,0,1,1,0,0,0,0,0,0,6,13,.,0
363,2,0,1,1,0,0,0,0,0,2,0,25,3,0
364,2,0,1,1,0,0,0,0,0,3,3.5,20,3,0
366,3,0,1,1,0,0,0,0,0,3,2,17,3,0
368,4,0,1,1,0,0,0,0,0,1,0,20,3,0
369,1,1,1,0,0,1,0,0,0,1,0,15,4,0
370,1,0,1,0,0,1,0,0,0,0,20,11.5,3.3,0
376,1,0,1,0,0,1,0,0,0,3,4,10,4,0
377,1,0,1,0,0,1,0,0,0,3,12,6,3,0
379,1,0,1,0,0,1,0,0,0,0,20,12,4,0
380,1,0,1,0,0,1,0,0,0,0,10,15,3,0
383,1,0,1,0,0,1,0,0,0,3,6,4,2,0
384,1,0,1,0,0,1,0,0,0,3,.,.,3,0
385,1,0,1,0,0,1,0,0,0,2,16,14,3,0
386,1,0,1,0,0,1,0,0,0,0,0,19,3,0
391,2,0,1,0,0,1,0,0,0,3,15,5,2,0
393,2,1,1,0,0,1,0,0,0,4,4,10,3,0
396,3,1,1,0,0,1,0,0,0,1,24,16,4,0
397,3,1,1,0,0,1,0,0,0,2,4,28,3,0
398,3,1,1,0,0,1,0,0,0,1,14,13,4,0
399,3,1,1,0,0,1,0,0,0,0,13,8,3,0
400,3,1,1,0,0,1,0,0,0,0,16,15,3,0
401,3,0,1,0,0,1,0,0,0,0,8,6,4,0
402,3,1,1,0,0,1,0,0,0,2,11,10,3,0
405,3,1,1,0,0,1,0,0,0,3,6,17,3,0
410,1,0,1,0,0,1,0,0,0,0,0,35,3,0
411,1,0,1,0,0,1,0,0,0,1,0,36,3,0
412,2,0,1,0,1,0,0,0,0,0,0,17,2,0
413,1,0,1,0,0,1,0,0,0,0,0,36,5,0
414,1,0,1,0,0,1,0,0,0,0,0,36,5,0
415,1,0,1,0,0,1,0,0,0,0,8,32,5,0
417,1,1,1,0,0,1,0,0,0,0,4,28,3,0
418,1,0,1,0,0,1,0,0,0,2,30,15,4,0
419,2,1,1,0,0,1,0,0,0,4,3,10,4,0
421,2,1,1,0,0,1,0,0,0,3,20,10,8,0
422,2,0,1,0,0,1,0,0,0,2,0,7,3,0
423,2,1,1,0,0,1,0,0,0,3,2,10,2,0
424,2,1,1,0,0,1,0,0,0,0,3.5,6.5,3,0
426,3,1,1,0,0,1,0,0,0,0,3,33,5,0
427,4,0,1,0,0,1,0,0,0,3,7,8,3,0
428,4,0,1,0,0,1,0,0,0,2,0,33,3,0
506,2,1,0,0,0,0,1,0,0,.,3,7,4,1
56,4,1,0,0,0,0,1,0,0,.,0,36,2,1
61,4,1,0,0,0,0,1,0,0,.,28,3,6,1
62,4,1,0,0,0,0,1,0,0,.,.,.,.,1
445,1,0,0,0,0,0,0,1,0,.,15,18,5,1
451,1,0,0,0,0,0,0,1,0,2,26,9,6,1
455,2,1,0,0,0,0,0,1,0,.,3,12,2,1
458,2,1,0,0,0,0,1,0,0,1,2,9,2,1
462,3,1,0,0,0,0,0,1,0,1,1,25,4,1
468,1,0,0,0,0,0,0,1,0,.,9,32,4,1
469,1,0,0,0,0,0,0,1,0,1,7,39,4,1
470,1,0,0,0,0,0,0,1,0,2,18,10,3,1
474,1,0,0,0,0,0,0,1,0,1,5,20,3,1
481,2,1,0,0,0,0,0,1,0,2,15,4,3,1
483,2,1,0,0,0,0,0,1,0,.,4,13,3,1
487,3,1,0,0,0,0,0,1,0,.,6,20,3,1
488,3,0,0,0,0,0,0,1,0,.,5,15,3,1
489,3,0,0,0,0,0,0,1,0,2,2,19,3,1
490,3,1,0,0,0,0,0,1,0,1,2,18,3,1
493,3,1,0,0,0,0,1,0,0,.,0,30,4,1
495,3,0,0,0,0,0,0,1,0,.,8,20,3,1
496,3,1,0,0,0,0,0,1,0,.,10,10,3,1
499,4,1,0,0,0,0,0,1,0,1,0,31,5,1
509,3,1,0,0,0,0,0,1,0,.,5.5,10,3,1
515,3,1,0,0,0,0,0,1,0,.,5,19,3,1
37,1,0,0,0,0,0,1,0,0,.,6,25,7,1
39,1,0,0,0,0,0,1,0,0,.,5,15,3,1
40,1,0,0,0,0,0,1,0,0,.,7,25,6,1
41,1,0,0,0,0,0,1,0,0,2,0,42,6,1
42,1,0,0,0,0,0,1,0,0,1,0,22,5,1
45,1,0,0,0,0,0,1,0,0,.,11,12,2,1
47,1,0,0,0,0,0,1,0,0,.,0,45,2,1
48,1,0,0,0,0,0,1,0,0,.,7.5,25,5,1
50,2,0,0,0,0,0,1,0,0,.,4,20,3,1
51,2,0,0,0,0,0,1,0,0,2,6,15,3,1
57,4,1,0,0,0,0,1,0,0,1,7,18,4,1
58,4,1,0,0,0,0,1,0,0,2,0,28,4,1
59,4,0,0,0,0,0,1,0,0,1,0,16,4,1
60,4,0,0,0,0,0,1,0,0,2,10,20,5,1
407,2,1,0,0,0,0,0,1,0,.,1,14,3,1
430,1,0,0,0,0,0,1,0,0,.,0,48,3,1
432,1,0,0,0,0,0,1,0,0,1,25,10,4,1
433,1,0,0,0,0,0,1,0,0,6,0,42,4,1
434,1,0,0,0,0,0,1,0,0,.,19,29,4,1
435,1,0,0,0,0,0,1,0,0,.,0,32,5,1
438,2,0,0,0,0,0,1,0,0,.,2,9,3,1
440,4,0,0,0,0,0,1,0,0,.,0,30,3,1
441,4,0,0,0,0,0,1,0,0,.,0,30,3,1
443,4,0,0,0,0,0,1,0,0,.,5,20,4,1
444,4,0,0,0,0,0,1,0,0,.,10,35,4,1
446,1,0,0,0,0,0,0,1,0,.,7,24,4,1
